"","x"
"1","Alphonse"
"2","Arthur Gride"
"3","Augustus Borum"
"4","Baron Von Koeldwethout"
"5","Baron Von Swillenhausen"
"6","Baroness Von Koeldwethout"
"7","Belling"
"8","Bolder"
"9","Captain Adams"
"10","Cecilia Bobster"
"11","Charles Cheeryble"
"12","Charlotte Borum"
"13","Cobbey"
"14","Colonel Chowser"
"15","David"
"16","Dick"
"17","Doctor Lumbey"
"18","Dorker"
"19","Edwin Cheeryble"
"20","Fanny Squeers"
"21","Fluggers"
"22","Frank Cheeryble"
"23","Graymarsh"
"24","Hannah"
"25","Henrietta Petowker"
"26","Henry Wititterly"
"27","Horatio Peltirogus"
"28","Jane Dibabs"
"29","John Browdie"
"30","Julia Wititterly"
"31","Kate Nickleby"
"32","Lord Frederick Verisopht"
"33","Lukin"
"34","Madame Mantalini"
"35","Madeline Bray"
"36","Matilda Price"
"37","Miss Belvawney"
"38","Miss Bravassa"
"39","Miss Browndock"
"40","Miss Cropley"
"41","Miss Gazingi"
"42","Miss Knag"
"43","Miss La Creevy"
"44","Miss Lane"
"45","Miss Ledrook"
"46","Miss Snevellicci"
"47","Mobbs"
"48","Morleena Kenwigs"
"49","Mortimer Knag"
"50","Mr Bobster"
"51","Mr Bonney"
"52","Mr Borum"
"53","Mr Brooker"
"54","Mr Bulph"
"55","Mr Crowl"
"56","Mr Crummles"
"57","Mr Curdle"
"58","Mr Cutler"
"59","Mr Folair"
"60","Mr Gallanbile"
"61","Mr Glavormelly"
"62","Mr Godfrey Nickleby"
"63","Mr Gregsbury"
"64","Mr Kenwigs"
"65","Mr Lenville"
"66","Mr Lillyvick"
"67","Mr Mantalini"
"68","Mr Nickleby"
"69","Mr Pluck"
"70","Mr Pugstyles"
"71","Mr Pyke"
"72","Mr Scaley"
"73","Mr Snawley"
"74","Mr Snevellicci"
"75","Mr Snobb"
"76","Mr Trimmers"
"77","Mr Watkins"
"78","Mr Westwood"
"79","Mrs Blockson"
"80","Mrs Borum"
"81","Mrs Clark"
"82","Mrs Crummles"
"83","Mrs Curdle"
"84","Mrs Cutler"
"85","Mrs Gallanbile"
"86","Mrs Grudden"
"87","Mrs Kenwigs"
"88","Mrs Lenville"
"89","Mrs Nickleby"
"90","Mrs Snawley"
"91","Mrs Snevellicci"
"92","Mrs Squeers"
"93","Muntle"
"94","Newman Noggs"
"95","Nicholas Nickleby"
"96","Ninetta Crummles"
"97","Peg Sliderskew"
"98","Phoebe"
"99","Pitcher"
"100","Ralph Nickleby"
"101","Sir Mulberry Hawk"
"102","Sir Thomas Grimble"
"103","Smike"
"104","Snittle Timberry"
"105","The African Swallower"
"106","The Little Kenwigses"
"107","The Master Crummleses"
"108","Tim Linkinwater"
"109","Wackford Squeers"
"110","Walter Bray"
"111","Baroness Von Swillenhausen"
"112","Wackford SqueersJunior"
"113","Sir Tumley Snuffim"
"114","Miss Simmonds"
"115","The Hawkinses"
"116","The Miss Dowdles"
"117","Thomas"
"118","Tom Tix"
"119","William"
"120","Sir Matthew Pupker"
